year,year,population,digital_readers,readers_weekly,readers_monthly,readers_once_month,ebook_sales,book_sales,lenders,lendings,digital_lendings,ebook_lendings,print_lendings,sales,readers,perc_digital_readers,perc_readers,perc_lenders,perc_lenders_readers,perc_nonlending_readers,lendings_per_person,sales_per_person,sales_change,lendings_change,lendings_per_digital_reader,sales_per_digital_reader,lendings_per_sale,ebook_lendings_per_sale
31.12.2010,2010,81751602,,,,,1900000,416000000.0,7656290.0,247321479.0,960896.0,,246360583.0,417900000.0,,,,0.09365308829055118,,,3.0252799082762927,5.111826432465507,,,,,0.5918197631012204,
31.12.2011,2011,80327900,,,,,4300000,401000000.0,7569035.0,247213197.0,1440543.0,,245772654.0,405300000.0,,,,0.09422672570800432,,,3.07755085094967,5.045569472126123,-12600000.0,-108282.0,,,0.6099511398963731,
31.12.2012,2012,80523746,,,,,13200000,399000000.0,7470671.0,244015655.0,3414960.0,,240600695.0,412200000.0,,,,0.09277599926858843,,,3.0303564739772537,5.118986888662631,6900000.0,-3197542.0,,,0.5919836365841824,
31.12.2013,2013,80767463,,,,,21500000,398000000.0,7374911.0,241974727.0,7050893.0,,234923834.0,419500000.0,,,,0.09131042038549607,,,2.9959431435898884,5.193923201475327,7300000.0,-2040928.0,,,0.576816989272944,
31.12.2014,2014,81197537,,,,,24800000,387000000.0,7266128.0,239785032.0,11418981.0,,228366051.0,411800000.0,,,,0.0894870493423957,,,2.953107210628815,5.071582405264337,-7700000.0,-2189695.0,,,0.5822851675570665,
31.12.2015,2015,82175684,,,,,27000000,380000000.0,7184461.0,238323636.0,16285520.0,,222038116.0,407000000.0,,,,0.0874280644868134,,,2.900172221261949,4.952803313447321,-4800000.0,-1461396.0,,,0.5855617592137592,
31.12.2016,2016,82521653,,,,,28100000,377000000.0,7374754.0,237585918.0,19755975.0,,217829943.0,405100000.0,,,,0.0893675021269872,,,2.879073665671724,4.909014607354024,-1900000.0,-737718.0,,,0.5864870846704517,
31.12.2017,2017,82792351,7650000.0,11640000.0,15070000.0,6870000.0,29100000,367000000.0,7272699.0,234155600.0,24323654.0,,209831946.0,396100000.0,33580000.0,0.09239984017364117,0.4055930239256039,0.08784264382104574,0.21657829064919595,0.783421709350804,2.8282274530409217,4.784258391212976,-9000000.0,-3430318.0,,3.803921568627451,0.5911527392072708,
31.12.2018,2018,83019213,8520000.0,11930000.0,14840000.0,7060000.0,32800000,,7238048.0,236281547.0,28949086.0,,207332461.0,,33830000.0,0.102626846149457,0.407496033478419,0.08718521578854282,0.21395353236772097,0.786046467632279,2.846106804216513,,,2125947.0,,3.8497652582159625,,
31.12.2019,2019,83166711,8680000.0,11960000.0,14730000.0,7110000.0,32400000,,7297447.0,240913460.0,33389881.0,25652538.0,207523579.0,,33800000.0,0.10436868183954034,0.406412609006505,0.08774480693362997,0.21590079881656804,0.784099201183432,2.896753485898943,,,4631913.0,2.9553615207373274,3.7327188940092166,,0.791745
31.12.2020,2020,83155031,9120000.0,12620000.0,14710000.0,7030000.0,35800000,,6397339.0,197655411.0,41432276.0,30211532.0,156223135.0,,34360000.0,0.10967466297980215,0.4132041030686405,0.07693267530620006,0.1861856519208382,0.8138143480791618,2.3769507223200965,,,-43258049.0,3.3126679824561402,3.925438596491228,,0.8438975418994413
